ageEstimate;companyName;connectionsCount;country;followable;followersCount;genderEstimate;posTitle;startDate;endDate;ID;type
52.0;Telstra;500.0;au;1.0;724.0;male;Systems Engineer;2017-05-01;2017-07-01;301831;train
35.0;Cactus Imaging;500.0;au;1.0;746.0;;Business Development Manager;2017-01-01;2017-12-01;364408;train
35.0;The Gold Coast Art School;500.0;au;1.0;746.0;;Art Teacher;2013-02-01;2015-08-01;364408;train
35.0;Think Education;500.0;au;1.0;746.0;;Student Services & Academic Services Officer;2013-02-01;2015-08-01;364408;train
35.0;Laureate Australia;500.0;au;1.0;746.0;;Student Services Officer;2015-08-01;2016-12-01;364408;train
52.0;The Salvation Army Employment Plus;500.0;au;1.0;841.0;male;General Manager Business Development;2015-07-01;2017-02-01;369564;train
52.0;Superpartners;500.0;au;1.0;841.0;male;National Manager Channels;2008-05-01;2009-08-01;369564;train
52.0;Strategic Project Partners;500.0;au;1.0;841.0;male;Senior Engagement Manager;2012-03-01;2015-02-01;369564;train
52.0;Angus Knight Group;500.0;au;1.0;841.0;male;General Manager Business Development;2017-03-01;;369564;train
40.0;Rio Tinto;374.0;au;1.0;373.0;male;Consultant and Transition Specialist, Financial Accounting - Iron Ore;2015-01-01;2016-07-01;458224;train
40.0;EY;374.0;au;1.0;373.0;male;Senior Manager, Assurance;2001-02-01;2012-11-01;458224;train
40.0;BHP;374.0;au;1.0;373.0;male;Finance Trainer, 1SAP;2013-08-01;2013-12-01;458224;train
40.0;Rio Tinto;374.0;au;1.0;373.0;male;Joint Venture Manager - Hope Downs;2016-07-01;;458224;train
37.0;Robert Bird Group;280.0;au;1.0;282.0;male;Senior Structural Engineer;2005-02-01;2014-11-01;459233;train
37.0;AECOM (incorporating Davis Langdon, An AECOM Company);280.0;au;1.0;282.0;male;Senior Structural Engineer;2014-12-01;2016-03-01;459233;train
37.0;Billbergia Group;280.0;au;1.0;282.0;male;Project Engineer;2016-03-01;2016-08-01;459233;train
37.0;BG&E;280.0;au;1.0;282.0;male;Principal - Structures;2016-08-01;;459233;train
26.0;World Organization of the Scout Movement (WOSM);500.0;au;1.0;518.0;female;Intern, Youth Program - Scouts of the World Award;2015-03-01;2015-12-01;511672;train
26.0;Scouts Victoria;500.0;au;1.0;518.0;female;Assistant Event Coordinator;2016-01-01;2016-03-01;511672;train
26.0;LUMAS Gallery Australia;500.0;au;1.0;518.0;female;Gallery Assistant;2016-08-01;2016-11-01;511672;train
26.0;Flight Centre Travel Group;500.0;au;1.0;518.0;female;Travel Agent;2010-08-01;2018-02-01;511672;train
48.0;Bennett + Bennett;436.0;au;1.0;433.0;male;Project Manager/Senior Surveyor;2013-06-01;2015-08-01;524387;train
48.0;MPA Surveying Pty Ltd;436.0;au;1.0;433.0;male;Project Manager/Senior Surveyor;2012-11-01;2013-06-01;524387;train
48.0;MPA Surveying Pty Ltd;436.0;au;1.0;433.0;male;Senior Surveyor;2008-02-01;2012-12-01;524387;train
48.0;Fulton Hogan;436.0;au;1.0;433.0;male;Survey Department Manager;2006-01-01;2008-02-01;524387;train
38.0;APD;355.0;au;1.0;353.0;male;Group Operations Delivery Lead - Delivery, Operations & Technology;2017-04-01;;543636;train
38.0;APD;355.0;au;1.0;353.0;male;Delivery / Digital Application Manager - Global Clients Group;2010-07-01;2015-04-01;543636;train
38.0;APD;355.0;au;1.0;353.0;male;Digital Transformation - Delivery and Technology;2016-10-01;2017-03-01;543636;train
38.0;APD;355.0;au;1.0;353.0;male;Digital Transformation - Delivery and Technology;2015-04-01;2016-09-01;543636;train
32.0;Western Australian Department of Health;142.0;au;1.0;141.0;male;Senior Development Officer;2017-05-01;;555346;train
32.0;The Frontier Group;142.0;au;1.0;141.0;male;Developer, Spotfire developer analyst;2013-08-01;2016-12-01;555346;train
32.0;IBM;142.0;au;1.0;141.0;male;Intern;2013-02-01;2013-07-01;555346;train
32.0;Simplisite Business Solutions;142.0;au;1.0;141.0;male;Software Developer;2016-12-01;2017-05-01;555346;train
50.0;Cordelta;500.0;au;1.0;630.0;male;Account Manager;2011-06-01;2013-09-01;555643;train
50.0;Veritec;500.0;au;1.0;630.0;male;Senior Executive, Managed Services & IT Pro;2014-04-01;;555643;train
50.0;Chatterbox Apps;500.0;au;1.0;630.0;male;Director;2015-08-01;;555643;train
50.0;FTSGroup;500.0;au;1.0;630.0;male;CIO;2016-11-01;;555643;train
55.0;Hyder Consulting;500.0;au;1.0;2679.0;male;Structures Function Group Leader / Technical Director;2004-09-01;2009-03-01;577490;train
55.0;Hyder Consulting;500.0;au;1.0;2679.0;male;Associate Director (Structures);2000-01-01;2003-02-01;577490;train
55.0;Hyder Consulting;500.0;au;1.0;2679.0;male;Principal Engineer - (Structures);1998-02-01;2000-01-01;577490;train
55.0;Lendlease;500.0;au;1.0;2679.0;male;Senior Engineering Manager, National Engineering and Design;2017-07-01;2018-06-01;577490;train
29.0;Kapow Pictures;39.0;au;1.0;39.0;female;Internship;2011-06-01;2011-07-01;630716;train
29.0;Lash Creative, digital marketing agency;39.0;au;1.0;39.0;female;Interactive Designer;2013-01-01;;630716;train
24.0;University of Melbourne;414.0;au;1.0;412.0;;Student PASS Leader;2016-02-01;2018-11-01;644541;train
24.0;Telstra;414.0;au;1.0;412.0;;Summer Vacationer;2016-11-01;2017-02-01;644541;train
24.0;Senvion Australia Pty Ltd;414.0;au;1.0;412.0;;Intern;2016-01-01;2016-02-01;644541;train
24.0;Australian Bureau of Statistics;414.0;au;1.0;412.0;;Census Officer;2016-08-01;2016-09-01;644541;train
40.0;Really Useful Group Ltd;500.0;au;1.0;616.0;male;Cats Cast;2015-01-01;2016-06-01;718053;train
40.0;AussieTheatre.com;500.0;au;1.0;616.0;male;Co Director - Digital and Business Strategy;2011-01-01;;718053;train
40.0;Emptyhead Designs;500.0;au;1.0;616.0;male;Owner;2009-01-01;;718053;train
40.0;ACMN;500.0;au;1.0;616.0;male;Front End Developer;2012-07-01;2017-07-01;718053;train
29.0;Ogilvy Australia;500.0;au;1.0;1704.0;;Head Of Social;2017-07-01;;749805;train
29.0;Publicis Australia;500.0;au;1.0;1704.0;;Digital & Social Strategist;2014-11-01;2016-01-01;749805;train
29.0;Marcel Sydney;500.0;au;1.0;1704.0;;Head of Social;2016-01-01;2017-06-01;749805;train
29.0;Nurun Australia;500.0;au;1.0;1704.0;;Social Media Manager;2013-12-01;2014-11-01;749805;train
50.0;Queensland Government;500.0;au;1.0;853.0;male;Principal Architecture Consultant;2012-08-01;2016-04-01;764413;train
50.0;CITEC;500.0;au;1.0;853.0;male;Senior Consultant, Technology Architectures;1996-08-01;2010-07-01;764413;train
50.0;GSK;500.0;au;1.0;853.0;male;Team Leader, NT Server Support;1995-08-01;1996-05-01;764413;train
50.0;CITEC;500.0;au;1.0;853.0;male;Principal Architecture Consultant- Enterprise Management & Security;2010-07-01;2012-07-01;764413;train
24.0;Darley;244.0;au;1.0;244.0;male;Stablehand/Strapper;2011-01-01;2012-07-01;764735;train
24.0;Hunter Communications Pty. Ltd.;244.0;au;1.0;244.0;male;Public Relations Intern;2016-06-01;2016-10-01;764735;train
24.0;Perth Racing;244.0;au;1.0;244.0;male;Communications Intern;2016-08-01;2016-11-01;764735;train
24.0;Curtin University;244.0;au;1.0;244.0;male;Student Ambassador;2015-02-01;2016-02-01;764735;train
30.0;John Morris Group;500.0;au;1.0;1846.0;male;Hansatech Product Manager;2014-01-01;2017-09-01;784449;train
30.0;John Morris Group;500.0;au;1.0;1846.0;male;Goettfert Product Manager;2014-01-01;;784449;train
30.0;John Morris Group;500.0;au;1.0;1846.0;male;Sales Manager;2016-07-01;;784449;train
30.0;John Morris Group;500.0;au;1.0;1846.0;male;PreciPoint Product Manager;2017-01-01;;784449;train
20.0;Qantas;500.0;au;1.0;1230.0;female;Senior Safety Auditor;2015-07-01;;786405;train
20.0;Qantas;500.0;au;1.0;1230.0;female;Safety Programme Development;2014-12-01;2015-06-01;786405;train
20.0;Chubb Fire & Security Australasia;500.0;au;1.0;1230.0;female;Key Account Administrator;2011-03-01;2011-11-01;786405;train
20.0;Qantas;500.0;au;1.0;1230.0;female;Safety Quality Assurance;2013-08-01;2014-11-01;786405;train
41.0;Cardno;500.0;au;1.0;731.0;male;Manager - Water Engineering;2014-10-01;;793285;train
41.0;Aurecon;500.0;au;1.0;731.0;male;Senior Water Engineer;2009-01-01;2014-09-01;793285;train
41.0;Manly Hydraulics Laboratory;500.0;au;1.0;731.0;male;Water Engineer;2003-09-01;2008-12-01;793285;train
52.0;Capiotech;500.0;au;1.0;626.0;male;ETL Consultant (QANTAS);2010-11-01;2014-06-01;810025;train
52.0;ASG Group;500.0;au;1.0;626.0;male;DWH Consultant (Boral);2014-06-01;2015-01-01;810025;train
52.0;ASG Group;500.0;au;1.0;626.0;male;BI Consultant ( AMP );2015-01-01;2015-10-01;810025;train
52.0;ASG Group;500.0;au;1.0;626.0;male;BI Consultant ( QANTAS );2015-10-01;;810025;train
23.0;Self-Employed;59.0;au;1.0;59.0;male;Flight test Examiner;2018-09-01;;849367;train
23.0;FlyPelican;59.0;au;1.0;59.0;male;First Officer;2018-01-01;;849367;train
27.0;Australian Army;78.0;au;1.0;78.0;male;General Service Officer - Leadership, Maintenance Management, Engineering & Logistics;2011-01-01;;878866;train
27.0;UNSW Canberra;78.0;au;1.0;78.0;male;Student;2011-01-01;2015-11-01;878866;train
27.0;McWilliam's Wines;78.0;au;1.0;78.0;male;Maintenance Fitter;2009-11-01;2010-12-01;878866;train
35.0;Avanade;500.0;au;1.0;841.0;male;Manager - Solutions Architect;2015-01-01;2017-12-01;884574;train
35.0;DT;500.0;au;1.0;841.0;male;Solution Architect;2013-01-01;2015-12-01;884574;train
35.0;Avanade;500.0;au;1.0;841.0;male;Senior Consultant - Sitecore architect;2015-01-01;2016-12-01;884574;train
35.0;Sitecore;500.0;au;1.0;841.0;male;Senior Solutions Architect;2017-01-01;;884574;train
32.0;Brisbane City Council;500.0;au;1.0;735.0;male;Business Readiness Lead (SAP HR/Payroll);2014-02-01;2014-08-01;902167;train
32.0;Brisbane City Council;500.0;au;1.0;735.0;male;Business Transition Coordinator (SAP Finance Review Project);2014-08-01;2015-01-01;902167;train
32.0;Presence of IT;500.0;au;1.0;735.0;male;Change Manager;2015-01-01;2016-06-01;902167;train
32.0;Telstra;500.0;au;1.0;735.0;male;Change Manager;2016-06-01;;902167;train
25.0;2ser;93.0;au;1.0;93.0;female;Radio Presenter;2015-11-01;2017-05-01;903609;train
25.0;Seven West Media;93.0;au;1.0;93.0;female;Library Assistant;2016-05-01;2017-05-01;903609;train
25.0;Nine Entertainment Co.;93.0;au;1.0;93.0;female;Traffic Coordinator;2017-05-01;2018-05-01;903609;train
25.0;2ser;93.0;au;1.0;93.0;female;Executive Producer;2015-02-01;2017-05-01;903609;train
39.0;Monash University;500.0;au;1.0;1001.0;female;Reference Librarian;2013-10-01;2013-12-01;914572;train
39.0;Charles Sturt University;500.0;au;1.0;1001.0;female;Sessional Lecturer, School of Information Studies;2012-03-01;2016-07-01;914572;train
39.0;Monash University;500.0;au;1.0;1001.0;female;Subject Librarian for Social Inclusion (HEPPP);2014-01-01;2014-11-01;914572;train
39.0;Monash University;500.0;au;1.0;1001.0;female;Subject Librarian for Art, Design and Architecture;2014-11-01;;914572;train
29.0;CSIRO;173.0;au;1.0;173.0;male;Aquaculture Biologist;2015-04-01;;930458;train
29.0;Jacobs;173.0;au;1.0;173.0;male;Aquatic Scientist;2013-02-01;2015-04-01;930458;train
36.0;Intrapac Property;278.0;au;1.0;278.0;male;Development Manager;2014-06-01;;935065;train
36.0;Australian Unity;278.0;au;1.0;278.0;male;Development Manager / Project Manager;2011-10-01;2014-06-01;935065;train
36.0;Becton Property Group;278.0;au;1.0;278.0;male;Site Supervisor;2004-01-01;2009-12-01;935065;train
36.0;Crown Resorts;278.0;au;1.0;278.0;male;Project Manager;2009-01-01;2011-09-01;935065;train
36.0;SMS Management & Technology;500.0;au;1.0;1771.0;;Salesforce Consultant;2014-06-01;2014-02-01;980020;train
36.0;Cloud Sherpas;500.0;au;1.0;1771.0;;Salesforce.com Consultant;2013-03-01;2014-05-01;980020;train
36.0;oDesk Freelancer;500.0;au;1.0;1771.0;;SFDC analyst and developer;2011-02-01;;980020;train
36.0;Accenture Australia;500.0;au;1.0;1771.0;;Business & Integration Architecture Associate Manager;2014-09-01;2017-02-01;980020;train
41.0;The Marketing Academy Australia;500.0;au;1.0;8496.0;male;Head of Coaching Faculty;2014-01-01;;1028324;train
41.0;Microsoft;500.0;au;1.0;8496.0;male;Director Microsoft Office Division Australia;2008-01-01;2013-04-01;1028324;train
41.0;Polycom;500.0;au;1.0;8496.0;male;Partner & Channels Director;2013-05-01;2014-09-01;1028324;train
41.0;Oscar Trimboli Pty Limited;500.0;au;1.0;8496.0;male;Speaker | Author | Mentor;2013-05-01;;1028324;train
26.0;Cisco;182.0;au;1.0;181.0;male;CPOC Engineer;2017-01-01;;1037180;train
26.0;Australia On Line;182.0;au;1.0;181.0;male;Technical Support Officer and Sales;2013-04-01;2016-03-01;1037180;train
26.0;Cisco;182.0;au;1.0;181.0;male;Undergraduate Intern (Network Engineering);2016-01-01;2017-01-01;1037180;train
26.0;Echo Interpreting;182.0;au;1.0;181.0;male;Notetaker and Participation Assistant;2013-03-01;2015-11-01;1037180;train
26.0;National Australia Bank;234.0;au;1.0;234.0;male;Senior Associate, Commercial Broker;2018-05-01;2018-12-01;1047110;train
26.0;National Australia Bank;234.0;au;1.0;234.0;male;Trainee Associate;2016-10-01;2017-03-01;1047110;train
26.0;National Australia Bank;234.0;au;1.0;234.0;male;Intern;2016-03-01;2016-05-01;1047110;train
26.0;National Australia Bank;234.0;au;1.0;234.0;male;Associate;2017-03-01;2018-04-01;1047110;train
41.0;John Holland;500.0;au;1.0;752.0;female;RFP Quality and Systems Manager;2015-08-01;2015-12-01;1058179;train
41.0;John Holland;500.0;au;1.0;752.0;female;Systems Manager, Ringwood Station Upgrade Project;2014-10-01;2015-12-01;1058179;train
41.0;John Holland;500.0;au;1.0;752.0;female;Systems Manager;2015-11-01;2016-07-01;1058179;train
41.0;John Holland;500.0;au;1.0;752.0;female;Project Governance and Performance Manager;2016-07-01;2018-02-01;1058179;train
27.0;PwC Australia;147.0;au;1.0;147.0;male;Vacationer (Private Clients);2016-02-01;2016-02-01;1087140;train
27.0;Office of the Industry Advocate;147.0;au;1.0;147.0;male;Graduate Officer;2017-02-01;;1087140;train
27.0;University of South Australia;147.0;au;1.0;147.0;male;ITAS/ATP Tutor;2013-06-01;2016-08-01;1087140;train
27.0;University of South Australia;147.0;au;1.0;147.0;male;Golden Key Tutor;2012-06-01;2016-04-01;1087140;train
46.0;AMP Financial Planning;500.0;au;1.0;779.0;male;Financial Planner;2001-01-01;2002-12-01;1100291;train
46.0;Midwinter - Brilliantly simply advice technology;500.0;au;1.0;779.0;male;Executive Director - Financial Planning;2006-08-01;;1100291;train
46.0;Commonwealth Bank;500.0;au;1.0;779.0;male;Technology Analyst;2002-01-01;2003-01-01;1100291;train
46.0;AXA;500.0;au;1.0;779.0;male;Financial Planning Manager;2004-02-01;2006-08-01;1100291;train
35.0;Telstra;446.0;au;1.0;443.0;male;Supplier Pricing Specialist;2009-12-01;2012-07-01;1160577;train
35.0;Monash University;446.0;au;1.0;443.0;male;MBA Student;2003-01-01;2005-12-01;1160577;train
35.0;think ;446.0;au;1.0;443.0;male;Senior Procurement Analyst;2005-01-01;2009-12-01;1160577;train
35.0;Telstra;446.0;au;1.0;443.0;male;Senior Sales Specialist;2012-07-01;;1160577;train
25.0;Australian Writers' Guild;260.0;au;1.0;259.0;female;Comms, Research and Admin Assistant ;2018-05-01;;1163908;train
25.0;Wilkinson Butler;260.0;au;1.0;259.0;female;New Media Manager ;2016-06-01;2017-06-01;1163908;train
25.0;Redpath Partners;260.0;au;1.0;259.0;female;Receptionist;2017-06-01;2018-01-01;1163908;train
25.0;JB Hi-Fi;260.0;au;1.0;259.0;female;Accessories Coordinator;2015-03-01;2016-06-01;1163908;train
35.0;Block;500.0;au;1.0;515.0;male;Turnaround Consultant;2011-10-01;2012-06-01;1173656;train
35.0;Strategy&, part of the PwC network;500.0;au;1.0;515.0;male;Senior Associate;2016-07-01;;1173656;train
29.0;Menulog Group Limited;500.0;au;0.0;4120.0;male;State Territory Manager;2016-01-01;2016-06-01;1204457;train
29.0;CSG Limited;500.0;au;0.0;4120.0;male;Technology Solutions Consultant;2017-01-01;2017-06-01;1204457;train
29.0;HotDoc;500.0;au;0.0;4120.0;male;Senior Account Executive;2016-08-01;2016-12-01;1204457;train
29.0;Mentor Education;500.0;au;0.0;4120.0;male;Business Development Manager;2015-09-01;2016-01-01;1204457;train
39.0;Taylor & Francis Group;500.0;au;1.0;1222.0;female;Regional Sales Director - Books - Australasia;2017-06-01;;1206823;train
39.0;Wolters Kluwer Australia;500.0;au;1.0;1222.0;female;Head of Content - Books;2016-04-01;2017-06-01;1206823;train
39.0;Wolters Kluwer Australia;500.0;au;1.0;1222.0;female;Regional Sales Manager - Southern Region and Libraries;2014-08-01;2016-04-01;1206823;train
39.0;Wolters Kluwer Australia;500.0;au;1.0;1222.0;female;Head of Strategy, Major Accounts;2014-01-01;2014-08-01;1206823;train
66.0;Swinburne University of Technology;186.0;au;1.0;190.0;female;Course Leader Professional Writing & Editing (PWE);2010-01-01;;1275274;train
66.0;Australian Training Awards;186.0;au;1.0;190.0;female;Finalist for Australian VET Teacher/Trainer of the Year 2015.;2015-01-01;;1275274;train
45.0;Coates Hire;500.0;au;1.0;520.0;male;Lead Architect;2011-01-01;;1279704;train
45.0;Coates Hire;500.0;au;1.0;520.0;male;Senior Systems Analyst & Business Applications Team / Tech Leader;2010-04-01;2011-01-01;1279704;train
45.0;iSolutions was acquired by RPMGlobal;500.0;au;1.0;520.0;male;Senior Developer;2005-11-01;2010-04-01;1279704;train
48.0;Sinclair Knight Merz;500.0;au;1.0;646.0;female;Commercial Manager - Water & Environment;2011-06-01;2012-03-01;1289878;train
48.0;Jacobs;500.0;au;1.0;646.0;female;Director Risk and Project Delivery - Asia Pacific;2015-01-01;2016-02-01;1289878;train
48.0;Sinclair Knight Merz;500.0;au;1.0;646.0;female;Risk Manager - Buildings & Infrastructure;2012-03-01;;1289878;train
48.0;Jacobs;500.0;au;1.0;646.0;female;Director Risk & Assurance - ANZ Infrastructure & Environment;2014-03-01;;1289878;train
31.0;Optus;500.0;au;1.0;627.0;female;Digital Marketing Manager, Personalisation;2017-07-01;2018-03-01;1325515;train
31.0;Optus;500.0;au;1.0;627.0;female;Digital Marketing Coordinator;2015-02-01;2015-05-01;1325515;train
31.0;Guthy|Renker;500.0;au;1.0;627.0;female;Digital Marketing Executive;2014-04-01;2015-02-01;1325515;train
31.0;Optus;500.0;au;1.0;627.0;female;Digital Marketing Executive, Personalisation and Local Audiences;2015-05-01;2017-07-01;1325515;train
34.0;MDF Group;500.0;au;1.0;1300.0;male;Project Manager;2011-10-01;2014-10-01;1338295;train
34.0;Hitech Remedial Builders Pty Ltd;500.0;au;1.0;1300.0;male;Contracts Manager;2014-10-01;2016-05-01;1338295;train
34.0;Keystone Building Solutions Australia;500.0;au;1.0;1300.0;male;Estimator;2016-06-01;;1338295;train
34.0;Department of Commerce;500.0;au;1.0;1300.0;male;Site Project Manager;2010-01-01;2010-07-01;1338295;train
25.0;ConsMin;500.0;au;1.0;1928.0;female;ICT Manager;2015-08-01;2016-06-01;1341761;train
25.0;St Ives Home Care;500.0;au;1.0;1928.0;female;General Manager ICT;2016-06-01;2017-01-01;1341761;train
25.0;ConsMin;500.0;au;1.0;1928.0;female;ICT Manager;2016-10-01;2017-06-01;1341761;train
25.0;Barminco;500.0;au;1.0;1928.0;female;Group Manager ICT;2017-01-01;;1341761;train
46.0;Netball Victoria;144.0;au;1.0;144.0;female;Competitions Manager, State Events Manager;2005-03-01;2013-05-01;1360532;train
46.0;Geelong Mums;144.0;au;1.0;144.0;female;Teamwork Coordinator;2017-09-01;;1360532;train
48.0;EY;500.0;au;1.0;1224.0;male;Partner;2008-01-01;2011-09-01;1389047;train
48.0;EY;500.0;au;1.0;1224.0;male;Partner;2008-10-01;;1389047;train
48.0;Capgemini;500.0;au;1.0;1224.0;male;Vice President;2003-09-01;2008-10-01;1389047;train
48.0;Capgemini Invent;500.0;au;1.0;1224.0;male;Vice President;2003-01-01;2008-08-01;1389047;train
29.0;The Ray White Surfers Paradise Group;500.0;au;1.0;1557.0;female;Marketing Consultant;2013-05-01;;1423535;train
29.0;The Ray White Surfers Paradise Group;500.0;au;1.0;1557.0;female;Casual Employee - Market Share Analyst;2009-12-01;2013-05-01;1423535;train
38.0;Prosperity Advisers Group;500.0;au;1.0;4718.0;female;Manager, Sydney office;2004-11-01;2005-11-01;1441960;train
38.0;Bridges Financial Services;500.0;au;1.0;4718.0;female;Practice Development Manager;2003-02-01;2004-10-01;1441960;train
38.0;Elixir Consulting | Business Coaches;500.0;au;1.0;4718.0;female;Managing Director;2007-01-01;;1441960;train
38.0;Financial Planning Association of Australia;500.0;au;1.0;4718.0;female;Chairperson of the WA Chapter;2008-11-01;2012-11-01;1441960;train
37.0;Department of Defence;390.0;au;1.0;391.0;female;North Queensland Regional Mental Health Team Coordinator;2010-02-01;;1489069;train
26.0;Crown Equipment Pty Ltd - Australia;155.0;au;1.0;155.0;;Financial Accountant;2018-07-01;;1525736;train
26.0;Woolworths;155.0;au;1.0;155.0;;Nightfill Assistant;2013-08-01;2015-08-01;1525736;train
26.0;Crown Equipment Pty Ltd - Australia;155.0;au;1.0;155.0;;Assistant Financial Accountant;2015-09-01;;1525736;train
41.0;University of Melbourne;254.0;au;1.0;254.0;male;ARC Future Fellow;2014-04-01;;1535943;train
41.0;University of Melbourne;254.0;au;1.0;254.0;male;Research Fellow;2006-10-01;;1535943;train
41.0;ETH Zurich;254.0;au;1.0;254.0;male;Research Fellow;2005-03-01;2006-09-01;1535943;train
41.0;ETH Zurich;254.0;au;1.0;254.0;male;Research Fellow;2005-03-01;2006-09-01;1535943;train
28.0;MST Global;407.0;au;1.0;408.0;male;Web Development Contractor;2015-03-01;2016-03-01;1601864;train
